,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
74,Pierre Engvall\engvapi01,2020,2020,LW,24,7,5,12,6,2,,,,,,,Ljungby,1996-05-31,
75,Jhonas Enroth\enrotjh01,2010,2017,G,153,0,0,0,0,2,153,50,69,16,.909,2.84,Stockholm,1988-06-25,
76,Toby Enstrom\enstrto01,2008,2018,D,719,54,254,308,5,422,,,,,,,Nordingra,1984-11-05,
77,Jonathan Ericsson\ericsjo01,2008,2020,D,671,27,98,125,-16,531,,,,,,,Karlskrona,1984-03-02,
78,Anders Eriksson\eriksan01,1996,2010,D,572,22,154,176,43,242,,,,,,,Bollnas,1975-01-09,
79,Loui Eriksson\erikslo01,2007,2020,LW,948,248,338,586,42,188,,,,,,,Gothenburg,1985-07-17,
80,Peter Eriksson\erikspe01,1990,1990,LW,20,3,3,6,-1,24,,,,,,,Kramfors,1965-07-12,
81,Roland Eriksson\eriksro01,1977,1979,C,193,48,95,143,-70,26,,,,,,,Storatuna,1954-03-01,
82,Thomas Eriksson\eriksth01,1981,1986,D,208,22,76,98,45,107,,,,,,,Stockholm,1959-10-16,
83,Joel Eriksson Ek\eriksjo02,2017,2020,C,186,19,35,54,-3,58,,,,,,,Karlstad,1997-01-29,
84,Jan Erixon\erixoja01,1984,1993,LW,556,57,159,216,34,167,,,,,,,Skelleftea,1962-07-08,
85,Erik Ersberg\ersbeer01,2008,2010,G,53,0,0,0,0,2,53,18,19,10,.910,2.55,Sala,1982-03-08,
86,Dennis Everberg\everbde01,2015,2016,RW,70,3,9,12,-12,10,,,,,,,Vasteras,1991-12-31,
87,Oscar Fantenberg\fanteos01,2018,2020,D,106,5,10,15,2,32,,,,,,,Ljungby,1991-10-07,
88,Jesper Fast\fastje01,2014,2020,RW,397,51,88,139,11,110,,,,,,,Nassjo,1991-12-02,
89,Viktor Fasth\fasthvi01,2013,2015,G,63,0,0,0,0,0,63,26,26,7,.904,2.79,Kalix,1982-08-08,
90,Christian Folin\folinch01,2014,2020,D,233,7,36,43,24,109,,,,,,,Gothenburg,1991-02-09,
91,Jakob Forsbacka Karlsson\forsbja01,2017,2019,C,29,3,6,9,1,2,,,,,,,Stockholm,1996-10-31,
92,Anton Forsberg\forsban01,2015,2018,G,45,0,1,1,0,0,45,11,24,4,.901,3.21,Harnosand,1992-11-27,
93,Filip Forsberg\forsbfi01,2013,2020,C,433,160,176,336,34,191,,,,,,,Ostervala,1994-08-13,
94,Peter Forsberg*\forsbpe01,1995,2011,C,708,249,636,885,238,690,,,,,,,Ornskoldsvik,1973-07-20,
95,Gustav Forsling\forslgu02,2017,2019,D,122,8,19,27,-8,42,,,,,,,Linkoping,1996-06-12,
96,Gus Forslund\forslgu01,1933,1933,RW,48,4,9,13,,2,,,,,,,Umea,1908-04-25,1962-08-04
97,Tomas Forslund\forslto01,1992,1993,RW,44,5,11,16,-6,12,,,,,,,Falun,1968-11-24,
98,Johan Franzen\franzjo01,2006,2016,LW,602,187,183,370,93,401,,,,,,,Vetlanda,1979-12-23,
99,Max Friberg\fribema01,2015,2016,LW,6,0,0,0,-1,2,,,,,,,Skovde,1992-11-20,
100,Jonas Frogren\frogrjo01,2009,2009,D,41,1,6,7,0,28,,,,,,,Falun,1980-08-28,
101,Johan Garpenlov\garpejo01,1991,2000,LW,609,114,197,311,-65,276,,,,,,,Stockholm,1968-03-21,
102,Thomas Gradin\gradith01,1979,1987,C,677,209,384,593,-33,298,,,,,,,Solleftea,1956-02-18,
103,Petter Granberg\granbpe01,2014,2017,D,45,0,2,2,2,29,,,,,,,Gallivare,1992-08-27,
104,Nicklas Grossmann\grossni01,2007,2017,D,592,13,73,86,4,314,,,,,,,Stockholm,1985-01-22,
105,Carl Grundstrom\grundca01,2019,2020,RW,24,5,5,10,-2,10,,,,,,,Umea,1997-12-01,
106,Carl Gunnarsson\gunnaca01,2010,2020,D,598,29,104,133,50,167,,,,,,,Orebro,1986-11-09,
107,Bengt-Ake Gustafsson\gustabe01,1980,1989,RW,629,195,359,554,45,196,,,,,,,Karlskoga,1958-03-23,
108,David Gustafsson\gustada01,2020,2020,C,22,1,0,1,-2,0,,,,,,,Tingsryd,2000-04-11,
109,Erik Gustafsson\gustaer01,2011,2014,D,91,6,17,23,17,14,,,,,,,Kvissleby,1988-12-15,
110,Erik Gustafsson\gustaer02,2016,2020,D,200,27,81,108,2,69,,,,,,,Nynashamn,1992-03-14,
111,Per Gustafsson\gustape02,1997,1998,D,89,8,27,35,9,38,,,,,,,Oskarshamn,1970-06-06,
112,Jonas Gustavsson\gustajo01,2010,2017,G,179,0,4,4,0,10,179,72,67,23,.901,2.88,Danderyd,1984-10-24,
113,Peter Gustavsson\gustape01,1982,1982,LW,2,0,0,0,-1,0,,,,,,,Bollebygd,1958-03-30,
114,Carl Hagelin\hagelca01,2012,2020,LW,582,94,156,250,95,246,,,,,,,Sodertalje,1988-08-23,
115,Robert Hagg\haggro01,2017,2020,D,180,9,26,35,5,109,,,,,,,Uppsala,1995-02-08,
116,Roger Hagglund\hagglro01,1985,1985,D,3,0,0,0,0,0,,,,,,,Umea,1961-07-02,1992-06-06
117,Anders Hakansson\hakanan01,1982,1986,LW,330,52,46,98,-40,141,,,,,,,Munkfors,1956-04-27,
118,Mats Hallin\hallima01,1983,1987,LW,152,17,14,31,-13,193,,,,,,,Esklistuna,1958-03-19,
119,Inge Hammarstrom\hammain01,1974,1979,LW,427,116,123,239,-26,86,,,,,,,Sundsvall,1948-01-20,
120,Johan Harju\harjujo01,2011,2011,LW,10,1,2,3,-2,2,,,,,,,Overtornea,1986-05-15,
121,Niclas Havelid\havelni01,2000,2009,D,628,34,137,171,-31,342,,,,,,,Stockholm,1973-04-12,
122,Anders Hedberg\hedbean01,1979,1985,RW,465,172,225,397,53,144,,,,,,,Ornskoldsvik,1951-02-25,
123,Johan Hedberg\hedbejo01,2001,2013,G,373,0,10,10,0,96,373,161,143,36,.901,2.82,Leksand,1973-05-05,
124,Pierre Hedin\hedinpi01,2004,2004,D,3,0,1,1,-1,0,,,,,,,Ornskoldsvik,1978-02-19,
125,Victor Hedman\hedmavi01,2010,2020,D,739,103,356,459,97,552,,,,,,,Ornskoldsvik,1990-12-18,
126,Jonathan Hedstrom\hedstjo01,2003,2006,RW,83,13,14,27,1,48,,,,,,,Skelleftea,1977-12-27,
127,Tim Heed\heedti01,2017,2020,D,91,5,20,25,7,20,,,,,,,Gothenburg,1991-01-27,
128,Peter Helander\helanpe01,1983,1983,D,7,0,1,1,-2,0,,,,,,,Stockholm,1951-12-04,
129,Magnus Hellberg\hellbma01,2014,2017,G,4,0,0,0,0,0,4,1,0,0,.868,2.71,Uppsala,1991-04-04,
130,Niklas Hjalmarsson\hjalmni01,2008,2020,D,758,25,139,164,115,302,,,,,,,Eksjo,1987-06-06,
131,Marcus Hogberg\hogbema01,2019,2020,G,13,0,0,0,0,0,13,1,4,5,.895,3.33,Orebro,1994-11-25,
132,Jonas Hoglund\hoglujo01,1997,2003,LW,545,117,145,262,-4,112,,,,,,,Hammaro,1972-08-29,
133,Goran Hogosta\hogosgo01,1978,1980,G,22,0,0,0,0,0,22,5,12,3,.870,4.15,Appelbo,1954-04-15,
134,Philip Holm\holmph01,2018,2018,D,1,0,0,0,-2,0,,,,,,,Stockholm,1991-12-08,
135,Johan Holmqvist\holmqjo01,2001,2008,G,99,0,4,4,0,6,99,48,34,9,.890,2.99,Tolfta,1978-05-24,
136,Michael Holmqvist\holmqmi01,2004,2007,C,156,18,17,35,-25,72,,,,,,,Stockholm,1979-06-08,
137,Tomas Holmstrom\holmsto01,1997,2012,LW,1026,243,287,530,28,769,,,,,,,Pitea,1973-01-23,
138,Patric Hornqvist\hornqpa01,2009,2020,RW,746,232,233,465,84,378,,,,,,,Sollentuna,1987-01-01,
139,Kristian Huselius\huselkr01,2002,2012,LW,662,190,261,451,-16,256,,,,,,,Osterhaninge,1978-11-10,
140,Ulf Isaksson\isaksul01,1983,1983,LW,50,7,15,22,1,10,,,,,,,Norrsunda,1954-03-19,2003-12-25
141,Mattias Janmark\janmama02,2016,2020,C,274,45,57,102,-5,70,,,,,,,Stockholm,1992-12-08,
142,Calle Jarnkrok\jarnkca01,2014,2020,C,439,78,98,176,45,95,,,,,,,Gavle,1991-09-25,
143,Andreas Johansson\johanan01,1996,2004,C,377,81,88,169,-8,190,,,,,,,Hofors,1973-05-19,
144,Bjorn Johansson\johanbj01,1977,1978,D,15,1,1,2,-13,10,,,,,,,Orebro,1956-01-15,
145,Calle Johansson\johanca01,1988,2004,D,1109,119,416,535,57,519,,,,,,,Gothenburg,1967-02-14,
146,Jonas Johansson\johanjo02,2006,2006,RW,1,0,0,0,0,2,,,,,,,Jonkoping,1984-03-18,
147,Magnus Johansson\johanma01,2008,2008,D,45,0,14,14,-5,18,,,,,,,Linkoping,1973-09-04,
148,Marcus Johansson\johanma03,2011,2020,C/W,627,126,229,355,-11,104,,,,,,,Landskrona,1990-10-06,
149,Mathias Johansson\johanma02,2003,2003,C,58,5,10,15,-14,16,,,,,,,Oskarshamn,1974-02-22,
150,Roger Johansson\johanro01,1990,1995,D,161,9,34,43,32,163,,,,,,,Ljungby,1967-04-17,
151,Andreas Johnsson\johnsan01,2018,2020,LW,113,28,34,62,14,46,,,,,,,Gavle,1994-11-21,
152,Kim Johnsson\johnski01,2000,2010,D,739,67,217,284,27,406,,,,,,,Malmo,1976-03-16,
