,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
106,Sami Lepisto\lepissa01,2008,2012,D,176,6,29,35,23,137,,,,,,,Espoo,1984-10-17,
107,Otto Leskinen\leskiot01,2020,2020,D,5,0,0,0,0,0,,,,,,,Pieksamaki,1997-02-06,
108,Tapio Levo\levota01,1982,1983,D,107,16,53,69,-52,36,,,,,,,Pori,1955-09-24,
109,Juha Lind\lindju01,1998,2001,C,133,9,13,22,-3,20,,,,,,,Helsinki,1974-01-02,
110,Petteri Lindbohm\lindbpe02,2015,2017,D,40,2,1,3,-9,37,,,,,,,Helsinki,1993-09-23,
111,Esa Lindell\lindees01,2016,2020,D,284,26,70,96,45,85,,,,,,,Vantaa,1994-05-23,
112,Perttu Lindgren\lindgpe01,2010,2010,C,1,0,0,0,0,0,,,,,,,Tampere,1987-08-26,
113,Jyrki Lumme\lummejy01,1989,2003,D,985,114,354,468,76,620,,,,,,,Tampere,1966-07-16,
114,Pentti Lund\lundpe01,1949,1953,RW,259,44,55,99,,42,,,,,,,Karijoki,1925-12-06,2013-04-16
115,Mikko Luoma\luomami01,2004,2004,D,3,0,1,1,0,0,,,,,,,Jyvaskyla,1976-06-22,
116,Eetu Luostarinen\luostee01,2020,2020,C,8,0,1,1,-2,0,,,,,,,Siilinjarvi,1998-09-02,
117,Joona Luoto\luotojo01,2020,2020,F,16,0,0,0,-3,2,,,,,,,Tampere,1997-09-26,
118,Toni Lydman\lydmato01,2001,2013,D,847,36,206,242,45,551,,,,,,,Lahti,1977-09-25,
119,Olli Maatta\maattol01,2014,2020,D,403,28,91,119,60,108,,,,,,,Jyvaskyla,1994-08-22,
120,Saku Maenalanen\maenasa01,2019,2019,RW,34,4,4,8,0,20,,,,,,,Kemi,1994-05-29,
121,Mikko Makela\makelmi01,1986,1995,RW,423,118,147,265,-4,139,,,,,,,Tampere,1965-02-28,
122,Tomi Maki\makito01,2007,2007,RW,1,0,0,0,0,0,,,,,,,Helsinki,1983-08-19,
123,Kari Makkonen\makkoka01,1980,1980,LW,9,2,2,4,-2,0,,,,,,,Harjavalta,1955-01-20,
124,Olli Malmivaara\malmiol01,2008,2008,D,2,0,0,0,2,0,,,,,,,Kajaani,1982-03-13,
125,Masi Marjamaki\marjama01,2006,2006,RW,1,0,0,0,0,0,,,,,,,Pori,1985-01-16,
126,Jussi Markkanen\markkju01,2002,2007,G,128,0,2,2,0,4,128,43,47,15,.901,2.70,Imatra,1975-05-08,
127,Markus Mattsson\mattsma01,1980,1984,G,92,0,3,3,0,6,92,21,46,14,.867,4.13,Suoniemi,1957-07-30,
128,Anssi Melametsa\melaman01,1986,1986,RW,27,0,3,3,-5,2,,,,,,,Jyvaskyla,1961-06-21,
129,Antti Miettinen\miettan01,2004,2013,RW,539,97,133,230,-24,234,,,,,,,Hameenlinna,1980-07-03,
130,Niko Mikkola\mikkoni01,2020,2020,D,4,0,1,1,3,0,,,,,,,Finland,1996-04-27,
131,Jarmo Myllys\myllyja01,1989,1992,G,39,0,1,1,0,4,39,4,27,1,.859,5.23,Savonlinna,1965-05-29,
132,Antti Niemi\niemian02,2009,2019,G,464,0,12,12,0,8,464,242,140,57,.912,2.57,Vantaa,1983-08-29,
133,Antti-Jussi Niemi\niemian01,2001,2002,D,29,1,1,2,-7,22,,,,,,,Helsinki,1977-09-22,
134,Ville Nieminen\niemivi01,2000,2007,LW,385,48,69,117,-28,333,,,,,,,Tampere,1977-04-06,
135,Janne Niinimaa\niinija01,1997,2007,D,741,54,265,319,43,733,,,,,,,Raahe,1975-05-22,
136,Antero Niittymaki\niittan01,2004,2011,G,234,0,3,3,0,6,234,95,86,31,.902,2.95,Turku,1980-06-18,
137,Sami Niku\nikusa01,2018,2020,D,35,2,3,5,1,4,,,,,,,Haapavesi,1996-10-10,
138,Petteri Nokelainen\nokelpe01,2006,2012,C,245,20,21,41,-14,103,,,,,,,Imatra,1986-01-16,
139,Mika Noronen\noronmi01,2001,2006,G,71,1,0,1,0,4,71,23,32,6,.901,2.68,Tampere,1979-06-17,
140,Fredrik Norrena\norrefr01,2007,2009,G,100,0,1,1,0,6,100,35,45,11,.899,2.79,Pietarsaari,1973-11-29,
141,Petteri Nummelin\nummepe01,2001,2008,D,139,9,36,45,-28,34,,,,,,,Turku,1972-11-25,
142,Teppo Numminen\nummite01,1989,2009,D,1372,117,520,637,56,513,,,,,,,Tampere,1968-07-03,
143,Kai Nurminen\nurmika01,1997,2001,LW,69,17,11,28,-4,24,,,,,,,Turku,1969-03-29,
144,Pasi Nurminen\nurmipa01,2002,2004,G,125,0,5,5,0,39,125,48,54,12,.904,2.89,Lahti,1975-12-17,
145,Markus Nutivaara\nutivma01,2017,2020,D,221,16,37,53,22,28,,,,,,,Oulu,1994-06-06,
146,Janne Ojanen\ojaneja01,1989,1993,C,98,21,23,44,-8,28,,,,,,,Tampere,1968-04-09,
147,Joni Ortio\ortiojo01,2014,2016,G,37,0,2,2,0,2,37,15,15,5,.901,2.66,Turku,1991-04-16,
148,Oskar Osala\osalaos01,2009,2010,LW,3,0,0,0,-1,0,,,,,,,Vaasa,1987-12-26,
149,Iiro Pakarinen\pakarii01,2015,2018,RW,134,10,13,23,-11,18,,,,,,,Loviisa,1991-08-25,
150,Timo Parssinen\parssti01,2002,2002,LW,17,0,3,3,0,2,,,,,,,Lohjan mlk.,1977-01-19,
151,Ville Peltonen\peltovi01,1996,2009,LW,382,52,96,148,-11,119,,,,,,,Vantaa,1973-05-24,
152,Harri Pesonen\pesonha01,2013,2013,LW,4,0,0,0,-1,2,,,,,,,Muurame,1988-08-06,
153,Janne Pesonen\pesonja01,2009,2009,LW,7,0,0,0,-3,0,,,,,,,Suomussalmi,1982-05-11,
154,Lennart Petrell\petrele01,2012,2013,C,95,7,11,18,-14,49,,,,,,,Helsinki,1984-04-13,
155,Tomi Pettinen\pettito01,2003,2006,D,24,0,0,0,-3,18,,,,,,,Ylojarvi,1977-06-17,
156,Tuomas Pihlman\pihlmtu01,2004,2007,LW,15,1,1,2,-1,12,,,,,,,Espoo,1982-11-13,
157,Antti Pihlstrom\pihlsan01,2008,2009,LW,54,2,5,7,-2,10,,,,,,,vantaa,1984-10-22,
158,Ilkka Pikkarainen\pikkail01,2010,2010,RW,31,1,3,4,-3,10,,,,,,,Sonkajarvi,1981-04-19,
159,Lasse Pirjeta\pirjela01,2003,2006,C,146,23,27,50,-3,50,,,,,,,Haukipudas,1974-04-04,
