,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
82,Ray Bourque*\bourqra01,40,COL,D,80,7,52,59,25,48,10.2,3,2,2,0,21,31,0,216,3.2,2088,26:06
83,Bill Bowler\bowlebi01,26,CBJ,C,9,0,2,2,-3,8,0.0,0,0,0,0,0,2,0,3,0.0,88,9:44
84,Dan Boyle\boyleda01,24,FLA,D,69,4,18,22,-14,28,2.9,3,1,0,0,6,12,0,83,4.8,1169,16:56
85,Nick Boynton\boyntni01,22,BOS,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,14:27
86,Matt Bradley\bradlma01,22,SJS,RW,21,1,1,2,0,19,0.1,1,0,0,0,1,0,0,16,6.3,146,6:58
87,Donald Brashear\brashdo01,29,VAN,LW,79,9,19,28,0,145,2.0,9,0,0,1,19,0,0,127,7.1,1063,13:27
88,Rich Brennan\brennri01,28,LAK,D,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,29,14:44
89,Eric Brewer\breweer01,21,EDM,D,77,7,14,21,15,53,5.2,5,2,0,2,10,3,1,91,7.7,1425,18:31
90,Daniel Briere\brierda01,23,PHX,C,30,11,4,15,-2,12,2.0,2,9,0,1,1,3,0,43,25.6,325,10:50
91,Aris Brimanis\brimaar01,28,NYI,D,56,0,8,8,-12,26,0.9,0,0,0,0,4,4,0,66,0.0,874,15:36
92,Rod Brind'Amour\brindro01,30,CAR,C,79,20,36,56,-7,47,5.1,14,5,1,5,23,12,1,163,12.3,1748,22:07
93,Patrice Brisebois\brisepa01,30,MTL,D,77,15,21,36,-31,28,5.8,4,11,0,4,4,17,0,178,8.4,1903,24:43
94,Paul Brousseau\brouspa01,27,FLA,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,2,1:39
95,Brad Brown\brownbr01,25,NYR,D,48,1,3,4,0,107,0.7,1,0,0,0,3,0,0,14,7.1,697,14:31
96,Curtis Brown\browncu01,24,BUF,C,70,10,22,32,15,34,3.2,7,2,1,0,19,2,1,105,9.5,1160,16:34
97,Doug Brown\browndo01,36,DET,C,60,9,13,22,0,14,2.1,6,2,1,1,10,3,0,91,9.9,674,11:14
98,Mike Brown\brownmi01,21,VAN,LW,1,0,0,0,0,5,0.0,0,0,0,0,0,0,0,1,0.0,5,4:48
99,Sean Brown\brownse01,24,EDM,D,62,2,3,5,2,110,1.4,2,0,0,0,3,0,0,30,6.7,690,11:07
100,Benoit Brunet\brunebe01,32,MTL,RW,35,3,11,14,-4,12,0.7,3,0,0,0,7,4,0,61,4.9,583,16:40
101,Andrew Brunette\brunean01,27,ATL,LW,77,15,44,59,-5,26,5.1,9,6,0,4,28,16,0,104,14.4,1307,16:58
102,Sergei Brylin\brylise01,27,NJD,LW,75,23,29,52,25,24,6.3,19,3,1,0,23,6,0,130,17.7,1163,15:31
103,Kelly Buchberger\buchbke01,34,LAK,LW,82,6,14,20,-10,75,0.0,6,0,0,1,13,0,1,66,9.1,1183,14:26
104,Jan Bulis\bulisja01,22,TOT,C,51,5,18,23,-1,26,1.7,4,1,0,0,14,4,0,61,8.2,685,13:26
104,Jan Bulis\bulisja01,22,WSH,C,39,5,13,18,0,26,1.6,4,1,0,0,10,3,0,41,12.2,464,11:53
104,Jan Bulis\bulisja01,22,MTL,C,12,0,5,5,-1,0,0.2,0,0,0,0,4,1,0,20,0.0,221,18:25
105,Pavel Bure*\burepa01,29,FLA,RW,82,59,33,92,-2,58,11.9,35,19,5,8,24,9,0,384,15.4,2203,26:52
106,Valeri Bure\bureva01,26,CGY,RW,78,27,28,55,-21,26,5.2,11,16,0,2,17,11,0,276,9.8,1483,19:01
107,Adam Burt\burtad01,32,ATL,D,27,0,2,2,2,27,0.7,0,0,0,0,2,0,0,18,0.0,515,19:05
108,Sven Butenschön\butensv01,24,TOT,D,12,1,2,3,3,4,0.7,1,0,0,0,2,0,0,9,11.1,167,13:55
108,Sven Butenschön\butensv01,24,EDM,D,7,1,1,2,2,2,0.5,1,0,0,0,1,0,0,3,33.3,78,11:07
108,Sven Butenschön\butensv01,24,PIT,D,5,0,1,1,1,2,0.2,0,0,0,0,1,0,0,6,0.0,89,17:51
109,Yuri Butsayev\butsayu01,22,DET,C,15,1,1,2,-2,4,0.0,1,0,0,0,1,0,0,18,5.6,137,9:09
110,Petr Buzek\buzekpe01,23,ATL,D,5,0,0,0,2,8,0.2,0,0,0,0,0,0,0,11,0.0,87,17:26
111,Dan Bylsma\bylsmda01,30,MDA,LW,82,1,9,10,-12,22,-0.7,1,0,0,0,8,1,0,50,2.0,963,11:45
112,Eric Cairns\cairner01,26,NYI,D,45,2,2,4,-18,106,0.1,2,0,0,0,2,0,0,21,9.5,738,16:24
113,Kyle Calder\caldeky01,22,CHI,C,43,5,10,15,-4,14,1.1,5,0,0,1,9,1,0,63,7.9,547,12:43
114,Jan Caloun\calouja01,28,CBJ,RW,11,0,3,3,-8,2,-0.2,0,0,0,0,2,1,0,14,0.0,139,12:40
115,Brian Campbell\campbbr02,21,BUF,D,8,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,7,0.0,125,15:40
116,Jim Campbell\campbji01,27,MTL,RW,57,9,11,20,-3,53,2.0,3,6,0,1,6,5,0,81,11.1,588,10:19
117,Keith Carney\carneke01,30,PHX,D,82,2,14,16,15,86,4.8,2,0,0,0,14,0,0,65,3.1,1712,20:53
118,Anson Carter\cartean01,26,EDM,LW,61,16,26,42,1,23,4.0,8,7,1,4,21,5,0,102,15.7,1111,18:13
119,Andrew Cassels\cassean01,31,VAN,C,66,12,44,56,1,10,4.8,10,2,0,1,23,19,2,104,11.5,1278,19:22
120,Zdeno Chara\charazd01,23,NYI,D,82,2,7,9,-27,157,1.2,1,0,1,0,5,0,2,83,2.4,1832,22:20
121,Brad Chartrand\chartbr01,26,LAK,RW,4,1,0,1,-2,2,0.0,1,0,0,1,0,0,0,6,16.7,46,11:37
122,Vladimir Chebaturkin\chebavl01,25,STL,D,22,1,2,3,5,26,1.1,1,0,0,0,2,0,0,5,20.0,289,13:09
123,Chris Chelios*\chelich01,39,DET,D,24,0,3,3,4,45,1.2,0,0,0,0,2,0,1,26,0.0,548,22:51
124,Jason Chimera\chimeja01,21,EDM,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,6:58
125,Eric Chouinard\chouier01,20,MTL,C,13,1,3,4,0,0,0.3,0,1,0,0,2,1,0,11,9.1,143,10:59
126,Marc Chouinard\chouima01,23,MDA,C,44,3,4,7,-5,12,0.3,3,0,0,1,4,0,0,26,11.5,345,7:50
127,Artem Chubarov\chubaar01,21,VAN,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,15,15:08
128,Enrico Ciccone\ciccoen01,30,MTL,D,3,0,0,0,-1,14,-0.1,0,0,0,0,0,0,0,0,,9,2:57
