,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
345,Mike Johnson\johnsmi01,26,TOT,RW,76,13,30,43,-10,42,3.2,8,4,1,0,18,10,2,124,10.5,1313,17:16
345,Mike Johnson\johnsmi01,26,TBL,RW,64,11,27,38,-10,38,2.8,7,3,1,0,16,10,1,107,10.3,1166,18:13
345,Mike Johnson\johnsmi01,26,PHX,RW,12,2,3,5,0,4,0.5,1,1,0,0,2,0,1,17,11.8,146,12:12
346,Ryan Johnson\johnsry01,24,TBL,C,80,7,14,21,-20,44,0.0,6,1,0,0,14,0,0,71,9.9,1262,15:47
347,Kim Johnsson\johnski01,24,NYR,D,75,5,21,26,-3,40,3.3,1,4,0,0,17,3,1,104,4.8,1595,21:16
348,Olli Jokinen\jokinol01,22,FLA,C,78,6,10,16,-22,106,-0.3,6,0,0,0,9,0,1,121,5.0,1044,13:23
349,Keith Jones\joneske01,32,PHI,RW,8,0,0,0,-5,4,-0.4,0,0,0,0,0,0,0,11,0.0,88,11:00
350,Hans Jonsson\jonssha01,27,PIT,D,58,4,18,22,11,22,3.5,2,2,0,0,18,0,0,44,9.1,1070,18:27
351,Kenny Jonsson\jonsske01,26,NYI,D,65,8,21,29,-22,30,4.0,3,5,0,0,7,13,1,91,8.8,1564,24:04
352,Chris Joseph\josepch01,31,TOT,D,43,1,4,5,-11,36,0.4,0,0,1,0,3,1,0,58,1.7,707,16:26
352,Chris Joseph\josepch01,31,PHX,D,24,1,1,2,-4,16,0.3,0,0,1,0,1,0,0,33,3.0,311,12:59
352,Chris Joseph\josepch01,31,ATL,D,19,0,3,3,-7,20,0.0,0,0,0,0,2,1,0,25,0.0,395,20:48
353,Ed Jovanovski\jovaned01,24,VAN,D,79,12,35,47,-1,102,7.6,8,4,0,2,15,19,1,193,6.2,1971,24:57
354,Joe Juneau\juneajo01,33,PHX,LW,69,10,23,33,-2,28,2.3,5,5,0,3,13,10,0,100,10.0,1202,17:25
355,Frantisek Kaberle\kaberfr01,27,ATL,D,51,4,11,15,11,18,3.6,3,1,0,1,6,4,1,99,4.0,1136,22:17
356,Tomas Kaberle\kaberto01,22,TOR,D,82,6,39,45,10,24,7.9,6,0,0,1,21,17,1,96,6.3,1860,22:41
357,Dmitri Kalinin\kalindm01,20,BUF,D,79,4,18,22,-2,38,4.9,2,2,0,0,12,6,0,88,4.5,1566,19:50
358,Tomi Kallio\kallito01,24,ATL,LW,56,14,13,27,-3,22,2.4,12,2,0,2,11,2,0,115,12.2,912,16:17
359,Valeri Kamensky\kamenva01,34,NYR,LW,65,14,20,34,-18,36,2.2,8,6,0,1,15,5,0,129,10.9,995,15:19
360,Sami Kapanen\kapansa01,27,CAR,LW,82,20,37,57,-12,24,5.3,13,7,0,4,17,19,1,223,9.0,1552,18:56
361,Jere Karalahti\karalje01,25,LAK,D,56,2,7,9,8,38,2.4,2,0,0,0,5,0,2,26,7.7,956,17:04
362,Paul Kariya*\kariypa01,26,MDA,LW,66,33,34,67,-9,20,7.7,12,18,3,3,18,16,0,230,14.3,1520,23:02
363,Steve Kariya\kariyst01,23,VAN,LW,17,1,6,7,-1,8,0.4,0,1,0,0,5,1,0,22,4.5,199,11:42
364,Andreas Karlsson\karlsan01,25,ATL,C,60,5,11,16,-2,16,0.7,4,0,1,0,9,1,1,83,6.0,774,12:54
365,Dave Karpa\karpada01,29,CAR,D,80,4,6,10,-19,159,2.7,2,2,0,0,5,1,0,69,5.8,1601,20:01
366,Alexander Karpovtsev\karpoal01,30,CHI,D,53,2,13,15,-4,39,2.6,1,1,0,0,9,4,0,52,3.8,1085,20:28
367,Darius Kasparaitis\kaspada01,28,PIT,D,77,3,16,19,11,111,3.1,2,1,0,0,15,0,1,81,3.7,1481,19:14
368,Mike Keane\keanemi01,33,DAL,RW,67,10,14,24,4,35,2.0,9,1,0,1,13,0,1,64,15.6,1036,15:28
369,Sheldon Keefe\keefesh01,20,TBL,RW,49,4,0,4,-13,38,-0.3,4,0,0,0,0,0,0,32,12.5,392,8:00
370,Steve Kelly\kellyst01,24,TOT,C,35,3,2,5,0,25,0.2,3,0,0,0,2,0,0,22,13.6,313,8:57
370,Steve Kelly\kellyst01,24,NJD,C,24,2,2,4,0,21,0.1,2,0,0,0,2,0,0,18,11.1,239,9:58
370,Steve Kelly\kellyst01,24,LAK,C,11,1,0,1,0,4,0.1,1,0,0,0,0,0,0,4,25.0,74,6:44
371,Alexander Kharitonov\kharial01,24,TBL,RW,66,7,15,22,-9,8,1.4,7,0,0,0,10,5,0,103,6.8,770,11:40
372,Alexander Khavanov\khavaal01,29,STL,D,74,7,16,23,16,52,6.1,5,2,0,0,11,5,0,92,7.6,1547,20:54
373,Dmitri Khristich\khrisdm01,31,TOT,RW,70,13,25,38,0,16,3.4,7,6,0,4,12,13,0,77,16.9,1046,14:56
373,Dmitri Khristich\khrisdm01,31,WSH,RW,43,10,19,29,-8,8,2.6,6,4,0,4,9,10,0,54,18.5,640,14:53
373,Dmitri Khristich\khrisdm01,31,TOR,RW,27,3,6,9,8,8,0.8,1,2,0,0,3,3,0,23,13.0,405,15:01
374,Chad Kilger\kilgech01,24,TOT,C,77,14,18,32,-8,51,2.8,11,2,1,1,16,2,0,103,13.6,1054,13:41
374,Chad Kilger\kilgech01,24,MTL,C,43,9,16,25,-1,34,2.3,7,1,1,1,14,2,0,75,12.0,772,17:57
374,Chad Kilger\kilgech01,24,EDM,C,34,5,2,7,-7,17,0.4,4,1,0,0,2,0,0,28,17.9,282,8:18
375,Kris King\kingkr01,34,CHI,LW,13,1,0,1,-3,8,-0.1,1,0,0,0,0,0,0,12,8.3,130,10:00
376,Patric Kjellberg\kjellpa01,31,NSH,LW,81,14,31,45,-2,12,4.0,9,5,0,2,20,11,0,139,10.1,1430,17:39
377,Trent Klatt\klatttr01,30,VAN,RW,77,13,20,33,8,31,3.2,10,3,0,1,13,6,1,140,9.3,1044,13:33
378,Ken Klee\kleeke01,29,WSH,D,54,2,4,6,-5,60,1.5,2,0,0,0,3,0,1,58,3.4,932,17:15
379,Jon Klemm\klemmjo01,31,COL,D,78,4,11,15,22,54,4.8,2,2,0,2,6,3,2,97,4.1,1554,19:56
380,Rostislav Klesla\kleslro01,18,CBJ,D,8,2,0,2,-1,6,0.5,2,0,0,0,0,0,0,10,20.0,147,18:25
381,Tomas Kloucek\kloucto01,20,NYR,D,43,1,4,5,-3,74,0.5,1,0,0,0,4,0,0,22,4.5,719,16:43
382,Mike Knuble\knublmi01,28,BOS,RW,82,7,13,20,0,37,1.3,6,0,1,1,12,1,0,92,7.6,867,10:34
383,Espen Knutsen\knutses01,29,CBJ,C,66,11,42,53,-3,30,5.0,9,2,0,0,17,25,0,62,17.7,1054,15:59
384,Greg Koehler\koehlgr01,25,CAR,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,1,0:46
385,Ladislav Kohn\kohnla01,25,TOT,RW,77,7,7,14,-27,86,-0.4,5,0,2,0,6,1,0,129,5.4,914,11:52
385,Ladislav Kohn\kohnla01,25,MDA,RW,51,4,3,7,-15,42,-0.3,3,0,1,0,3,0,0,86,4.7,560,10:59
385,Ladislav Kohn\kohnla01,25,ATL,RW,26,3,4,7,-12,44,-0.1,2,0,1,0,3,1,0,43,7.0,354,13:38
386,Saku Koivu\koivusa01,26,MTL,C,54,17,30,47,2,40,5.0,10,7,0,3,18,10,2,113,15.0,1155,21:23
387,Pavel Kolarik\kolarpa01,28,BOS,D,10,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,1,0.0,88,8:49
388,Juraj Kolnik\kolniju01,20,NYI,RW,29,4,3,7,-8,12,0.4,4,0,0,0,3,0,0,38,10.5,303,10:28
389,Steve Konowalchuk\konowst01,28,WSH,LW,82,24,23,47,8,87,5.2,18,6,0,5,18,5,0,163,14.7,1400,17:04
390,Evgeny Korolev\korolev01,22,NYI,D,8,0,0,0,0,6,0.2,0,0,0,0,0,0,0,11,0.0,133,16:40
391,Igor Korolev\korolig01,30,TOR,RW,73,10,19,29,3,28,2.1,8,2,0,0,18,1,0,78,12.8,1145,15:41
392,Alexander Korolyuk\korolal01,25,SJS,RW,70,12,13,25,2,41,2.5,9,3,0,1,11,2,0,140,8.6,835,11:56
393,Andrei Kovalenko\kovalan01,30,BOS,RW,76,16,21,37,-14,27,2.9,8,7,1,3,18,3,0,119,13.4,1174,15:27
394,Alex Kovalev\kovalal01,27,PIT,RW,79,44,51,95,12,96,10.5,30,12,2,9,25,25,1,307,14.3,1863,23:35
395,Viktor Kozlov\kozlovi01,25,FLA,C,51,14,23,37,-4,10,3.6,8,6,0,2,16,7,0,139,10.1,938,18:23
396,Vyacheslav Kozlov\kozlovy01,28,DET,LW,72,20,18,38,9,30,4.6,16,4,0,5,13,5,0,187,10.7,1060,14:43
397,Milan Kraft\kraftmi01,21,PIT,C,42,7,7,14,-6,8,0.8,5,1,1,1,6,1,0,63,11.1,491,11:41
398,Igor Kravchuk\kravcig01,34,TOT,D,52,1,13,14,-8,18,2.3,1,0,0,1,7,6,0,67,1.5,1188,22:51
398,Igor Kravchuk\kravcig01,34,CGY,D,37,0,8,8,-12,4,1.1,0,0,0,0,4,4,0,54,0.0,878,23:43
398,Igor Kravchuk\kravcig01,34,OTT,D,15,1,5,6,4,14,1.2,1,0,0,1,3,2,0,13,7.7,310,20:41
399,Sergei Krivokrasov\krivose01,26,MIN,RW,54,7,15,22,-1,20,2.0,5,2,0,1,13,2,0,107,6.5,706,13:05
400,Jason Krog\krogja01,25,NYI,LW,9,0,3,3,4,0,0.3,0,0,0,0,2,1,0,7,0.0,95,10:32
401,Robert Kron\kronro01,33,CBJ,LW,59,8,11,19,4,10,1.5,7,0,1,1,11,0,0,134,6.0,1011,17:08
402,Paul Kruse\krusepa01,30,SJS,LW,1,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,,4,3:32
403,Filip Kuba\kubafi01,24,MIN,D,75,9,21,30,-6,28,6.6,5,4,0,4,10,10,1,141,6.4,1820,24:16
404,Pavel Kubina\kubinpa01,23,TBL,D,70,11,19,30,-14,103,5.0,4,6,1,1,12,6,1,128,8.6,1687,24:06
405,Frantisek Kucera\kucerfr01,32,TOT,D,55,2,7,9,-7,12,1.7,2,0,0,0,7,0,0,60,3.3,965,17:33
405,Frantisek Kucera\kucerfr01,32,CBJ,D,48,2,5,7,-5,12,1.7,2,0,0,0,5,0,0,51,3.9,850,17:42
405,Frantisek Kucera\kucerfr01,32,PIT,D,7,0,2,2,-2,0,0.1,0,0,0,0,2,0,0,9,0.0,115,16:28
406,Kristian Kudroc\kudrokr01,19,TBL,D,22,2,2,4,0,36,0.8,2,0,0,1,2,0,0,12,16.7,201,9:09
407,Jarno Kultanen\kultaja01,28,BOS,D,62,2,8,10,-3,26,2.3,2,0,0,1,4,4,0,76,2.6,1208,19:29
408,Zdenek Kutlak\kutlazd01,20,BOS,D,10,0,2,2,-3,4,0.1,0,0,0,0,2,0,0,7,0.0,161,16:05
409,Maxim Kuznetsov\kuznema01,23,DET,D,25,1,2,3,-1,23,0.6,1,0,0,0,2,0,0,17,5.9,237,9:28
410,Greg Kuznik\kuznigr01,22,CAR,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,7:32
411,Oleg Kvasha\kvashol01,22,NYI,C,62,11,9,20,-15,46,1.2,11,0,0,0,8,1,0,118,9.3,926,14:56
412,Joel Kwiatkowski\kwiatjo01,23,OTT,D,4,1,0,1,1,0,0.3,1,0,0,0,0,0,0,2,50.0,48,12:04
413,Antti Laaksonen\laaksan01,27,MIN,LW,82,12,16,28,-7,24,2.0,10,0,2,1,14,0,2,129,9.3,1349,16:27
414,Scott Lachance\lachasc01,28,VAN,D,76,3,11,14,5,46,3.3,3,0,0,0,10,0,1,55,5.5,1477,19:26
415,Dan LaCouture\lacouda01,23,TOT,LW,48,2,4,6,-2,43,0.1,2,0,0,1,4,0,0,23,8.7,328,6:50
415,Dan LaCouture\lacouda01,23,EDM,LW,37,2,4,6,-2,29,0.3,2,0,0,1,4,0,0,22,9.1,263,7:06
415,Dan LaCouture\lacouda01,23,PIT,LW,11,0,0,0,0,14,-0.1,0,0,0,0,0,0,0,1,0.0,66,5:57
416,Eric Lacroix\lacroer01,29,TOT,LW,55,2,4,6,-6,43,-0.1,2,0,0,0,4,0,0,32,6.3,363,6:36
416,Eric Lacroix\lacroer01,29,NYR,LW,46,2,3,5,-6,39,-0.1,2,0,0,0,3,0,0,22,9.1,291,6:19
416,Eric Lacroix\lacroer01,29,OTT,LW,9,0,1,1,0,4,0.0,0,0,0,0,1,0,0,10,0.0,73,8:05
417,Christian Laflamme\laflach01,24,MTL,D,39,0,3,3,-11,42,0.2,0,0,0,0,2,1,0,16,0.0,471,12:04
418,Denny Lambert\lambede01,31,ATL,LW,67,1,7,8,-5,215,-0.4,1,0,0,0,6,1,0,44,2.3,612,9:08
419,Eric Landry\landrer01,26,MTL,C,51,4,7,11,-9,43,0.5,2,2,0,0,6,1,0,54,7.4,475,9:19
420,Robert Lang\langro01,30,PIT,C,82,32,48,80,20,28,8.5,22,10,0,2,33,15,0,177,18.1,1673,20:24
421,Darren Langdon\langdda01,30,CAR,LW,54,0,2,2,-4,94,-0.2,0,0,0,0,2,0,0,6,0.0,181,3:21
422,Jamie Langenbrunner\langeja01,25,DAL,RW,53,12,18,30,4,57,3.1,7,3,2,4,11,6,1,104,11.5,874,16:30
423,Daymond Langkow\langkda01,24,PHI,C,71,13,41,54,12,50,5.1,10,3,0,2,31,10,0,190,6.8,1323,18:38
424,Ian Laperriere\laperia01,27,LAK,RW,79,8,10,18,5,141,1.1,8,0,0,0,10,0,0,60,13.3,951,12:02
425,Claude Lapointe\lapoicl01,32,NYI,LW,80,9,23,32,-2,56,1.8,7,1,1,1,16,4,3,94,9.6,1494,18:40
426,Martin Lapointe\lapoima01,27,DET,RW,82,27,30,57,3,127,6.6,14,13,0,8,19,10,1,181,14.9,1320,16:06
427,Georges Laraque\laraqge01,24,EDM,RW,82,13,16,29,5,148,3.2,12,1,0,1,14,2,0,73,17.8,742,9:03
428,Igor Larionov*\larioig01,40,TOT,C,65,9,31,40,-5,38,3.1,5,4,0,1,19,12,0,46,19.6,1078,16:35
428,Igor Larionov*\larioig01,40,DET,C,39,4,25,29,6,28,2.6,2,2,0,1,16,9,0,31,12.9,647,16:36
428,Igor Larionov*\larioig01,40,FLA,C,26,5,6,11,-11,10,0.5,3,2,0,0,3,3,0,15,33.3,430,16:33
429,Brad Larsen\larsebr01,23,COL,LW,9,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,3,0.0,84,9:17
430,Janne Laukkanen\laukkja01,30,PIT,D,50,3,17,20,9,34,3.1,3,0,0,0,13,3,1,58,5.2,923,18:28
431,Paul Laus\lauspa01,30,FLA,RW,25,1,2,3,5,66,0.0,1,0,0,0,2,0,0,18,5.6,359,14:22
432,Kirby Law\lawki01,23,PHI,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,3,3:23
433,Mark Lawrence\lawrema01,29,NYI,RW,36,3,4,7,-9,32,0.1,2,1,0,0,4,0,0,32,9.4,355,9:52
434,Vincent Lecavalier\lecavvi01,20,TBL,C,68,23,28,51,-26,66,4.4,16,7,0,3,18,10,0,165,13.9,1356,19:57
435,John LeClair\leclajo01,31,PHI,LW,16,7,5,12,2,0,1.5,4,3,0,2,3,2,0,48,14.6,306,19:06
436,Mike Leclerc\leclemi01,24,MDA,LW,54,15,20,35,-1,26,3.7,12,3,0,3,12,8,0,130,11.5,950,17:36
437,Grant Ledyard\ledyagr01,39,TOT,D,22,2,3,5,-2,16,1.0,2,0,0,0,2,1,0,19,10.5,379,17:14
437,Grant Ledyard\ledyagr01,39,TBL,D,14,2,2,4,-5,12,0.5,2,0,0,0,1,1,0,12,16.7,256,18:15
437,Grant Ledyard\ledyagr01,39,DAL,D,8,0,1,1,3,4,0.5,0,0,0,0,1,0,0,7,0.0,123,15:26
438,Greg Leeb\leebgr01,23,DAL,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,14,6:56
439,Brian Leetch*\leetcbr01,32,NYR,D,82,21,58,79,-18,34,9.4,10,10,1,3,27,27,4,241,8.7,2407,29:21
440,Sylvain Lefebvre\lefebsy01,33,NYR,D,71,2,13,15,3,55,2.3,2,0,0,0,11,0,2,39,5.1,1289,18:10
441,David Legwand\legwada01,20,NSH,C,81,13,28,41,1,38,3.9,10,3,0,3,22,6,0,172,7.6,1234,15:14
442,Jere Lehtinen\lehtije01,27,DAL,LW,74,20,25,45,14,24,5.0,13,7,0,1,19,4,2,148,13.5,1427,19:17
443,Claude Lemieux\lemiecl01,35,PHX,RW,46,10,16,26,1,58,2.4,8,2,0,1,8,8,0,99,10.1,791,17:12
444,Mario Lemieux*\lemiema01,35,PIT,C,43,35,41,76,15,18,9.5,18,16,1,5,25,16,0,171,20.5,1047,24:20
445,Jean-Yves Leroux\lerouje01,24,CHI,LW,59,4,4,8,-9,22,-0.1,3,1,0,0,4,0,0,60,6.7,601,10:11
446,Curtis Leschyshyn\leschcu01,31,TOT,D,65,2,7,9,5,19,3.4,1,1,0,1,6,1,0,51,3.9,1263,19:26
446,Curtis Leschyshyn\leschcu01,31,MIN,D,54,2,3,5,-2,19,2.3,1,1,0,1,2,1,0,43,4.7,1054,19:31
446,Curtis Leschyshyn\leschcu01,31,OTT,D,11,0,4,4,7,0,1.1,0,0,0,0,4,0,0,8,0.0,210,19:04
447,Trevor Letowski\letowtr01,23,PHX,C,77,7,15,22,-2,32,0.8,6,0,1,3,13,1,1,110,6.4,1258,16:20
448,Nicklas Lidstrom*\lidstni01,30,DET,D,82,15,56,71,9,18,12.2,7,8,0,0,20,35,1,272,5.5,2333,28:27
449,Andreas Lilja\liljaan01,25,LAK,D,2,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,1,0.0,25,12:22
450,Juha Lind\lindju01,27,MTL,LW,47,3,4,7,-4,4,0.3,3,0,0,2,4,0,0,36,8.3,367,7:49
451,Trevor Linden\lindetr01,30,TOT,C,69,15,22,37,0,60,3.2,9,6,0,3,14,8,0,126,11.9,1402,20:19
451,Trevor Linden\lindetr01,30,MTL,C,57,12,21,33,-2,52,2.8,6,6,0,3,13,8,0,96,12.5,1185,20:47
451,Trevor Linden\lindetr01,30,WSH,C,12,3,1,4,2,8,0.4,3,0,0,0,1,0,0,30,10.0,217,18:03
452,Mats Lindgren\lindgma01,26,NYI,C,20,3,4,7,4,10,0.7,1,0,2,0,3,0,1,34,8.8,305,15:14
453,Bill Lindsay\lindsbi01,29,TOT,LW,68,1,13,14,-6,126,0.2,1,0,0,0,12,1,0,71,1.4,696,10:14
453,Bill Lindsay\lindsbi01,29,CGY,LW,52,1,9,10,-8,97,0.0,1,0,0,0,9,0,0,57,1.8,547,10:32
453,Bill Lindsay\lindsbi01,29,SJS,LW,16,0,4,4,2,29,0.2,0,0,0,0,3,1,0,14,0.0,148,9:16
454,Richard Lintner\lintnri01,23,NSH,D,50,3,5,8,2,22,2.4,2,1,0,0,5,0,0,81,3.7,654,13:05
455,Reed Low\lowre01,24,STL,RW,56,1,5,6,4,159,0.3,1,0,0,0,5,0,0,31,3.2,352,6:17
456,Dave Lowry\lowryda01,35,CGY,LW,79,18,17,35,-2,47,3.3,13,5,0,5,13,4,0,108,16.7,1259,15:57
457,Brad Lukowich\lukowbr01,24,DAL,D,80,4,10,14,28,76,5.5,4,0,0,2,7,2,1,43,9.3,1184,14:48
458,Jyrki Lumme\lummejy01,34,PHX,D,58,4,21,25,3,44,4.5,4,0,0,0,12,9,0,77,5.2,1260,21:44
459,Roman Lyashenko\lyashro01,21,DAL,C,60,6,3,9,-1,45,0.6,6,0,0,1,2,1,0,48,12.5,575,9:35
460,Toni Lydman\lydmato01,23,CGY,D,62,3,16,19,-7,30,3.5,2,1,0,0,8,7,1,80,3.8,1278,20:36
461,Al MacInnis*\macinal01,37,STL,D,59,12,42,54,23,52,10.5,5,6,1,3,11,29,2,218,5.5,1565,26:32
462,Don MacLean\macledo01,24,TOR,C,3,0,1,1,-2,2,0.0,0,0,0,0,1,0,0,2,0.0,29,9:48
463,John MacLean\maclejo01,36,TOT,RW,30,4,2,6,-2,17,0.4,3,1,0,0,2,0,0,41,9.8,378,12:35
463,John MacLean\maclejo01,36,DAL,RW,28,4,2,6,0,17,0.5,3,1,0,0,2,0,0,41,9.8,357,12:45
463,John MacLean\maclejo01,36,NYR,RW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,20,10:14
464,John Madden\maddejo01,27,NJD,LW,80,23,15,38,24,12,4.6,20,0,3,4,15,0,0,163,14.1,1247,15:35
465,Adam Mair\mairad01,21,TOT,LW,26,0,2,2,0,20,-0.2,0,0,0,0,2,0,0,22,0.0,207,7:57
465,Adam Mair\mairad01,21,TOR,LW,16,0,2,2,3,14,0.1,0,0,0,0,2,0,0,17,0.0,144,9:01
465,Adam Mair\mairad01,21,LAK,LW,10,0,0,0,-3,6,-0.2,0,0,0,0,0,0,0,5,0.0,62,6:14
466,Vladimir Malakhov\malakvl01,32,NYR,D,3,0,2,2,0,4,0.2,0,0,0,0,0,1,1,6,0.0,57,19:07
467,Manny Malhotra\malhoma01,20,NYR,C,50,4,8,12,-10,31,0.3,4,0,0,2,7,1,0,46,8.7,453,9:03
468,Marek Malik\malikma01,25,CAR,D,61,6,14,20,-4,34,4.4,5,1,0,1,11,3,0,72,8.3,1195,19:36
469,Steve Maltais\maltast01,32,CBJ,RW,26,0,3,3,-9,12,-0.5,0,0,0,0,2,1,0,30,0.0,311,11:57
470,Kirk Maltby\maltbki01,28,DET,RW,79,12,7,19,16,22,1.9,8,1,3,3,5,1,1,119,10.1,1129,14:17
471,Kent Manderville\mandeke01,29,PHI,C,82,5,10,15,-2,47,0.2,2,0,3,2,9,0,1,136,3.7,1035,12:38
472,Mike Maneluk\manelmi01,27,CBJ,RW,39,5,1,6,-11,33,0.0,3,2,0,2,0,1,0,31,16.1,458,11:45
473,Eric Manlow\manloer01,25,BOS,C,8,0,1,1,0,2,0.0,0,0,0,0,1,0,0,3,0.0,59,7:26
474,Cameron Mann\mannca01,23,BOS,RW,15,1,3,4,0,6,0.3,1,0,0,0,3,0,0,17,5.9,127,8:29
475,Dave Manson\mansoda01,34,TOR,D,74,4,7,11,13,93,3.7,4,0,0,0,6,1,0,70,5.7,1169,15:48
476,Paul Mara\marapa01,21,TOT,D,62,6,14,20,-16,54,3.0,4,2,0,1,10,4,0,78,7.7,1373,22:08
476,Paul Mara\marapa01,21,TBL,D,46,6,10,16,-17,40,2.1,4,2,0,1,8,2,0,58,10.3,1063,23:06
476,Paul Mara\marapa01,21,PHX,D,16,0,4,4,1,14,0.8,0,0,0,0,2,2,0,20,0.0,310,19:22
477,Todd Marchant\marchto01,27,EDM,C,71,13,26,39,1,51,3.1,9,0,4,2,19,4,3,113,11.5,1271,17:54
478,Bryan Marchment\marchbr02,31,SJS,D,75,7,11,18,15,204,5.4,6,0,1,3,10,0,1,73,9.6,1365,18:12
479,Josef Marha\marhajo01,24,CHI,C,15,0,3,3,-4,6,-0.1,0,0,0,0,3,0,0,17,0.0,191,12:46
480,Andrei Markov\markoan01,22,MTL,D,63,6,17,23,-6,18,4.1,4,2,0,0,3,14,0,82,7.3,1064,16:53
481,Danny Markov\markoda01,24,TOR,D,59,3,13,16,6,34,3.5,2,1,0,2,9,4,0,49,6.1,1123,19:02
482,Patrick Marleau\marlepa01,21,SJS,C,81,25,27,52,7,22,6.0,20,5,0,6,20,7,0,146,17.1,1319,16:17
483,Grant Marshall\marshgr01,27,DAL,RW,75,13,24,37,1,64,3.9,9,4,0,1,13,11,0,93,14.0,832,11:05
484,Jason Marshall\marshja02,29,TOT,D,55,3,4,7,-13,122,1.2,0,2,1,1,4,0,0,43,7.0,789,14:21
484,Jason Marshall\marshja02,29,MDA,D,50,3,4,7,-12,105,1.2,0,2,1,1,4,0,0,38,7.9,730,14:36
484,Jason Marshall\marshja02,29,WSH,D,5,0,0,0,-1,17,0.0,0,0,0,0,0,0,0,5,0.0,59,11:48
485,Steve Martins\martist02,28,TOT,C,59,2,4,6,-16,33,-0.7,1,0,1,0,4,0,0,46,4.3,569,9:39
485,Steve Martins\martist02,28,NYI,C,39,1,3,4,-7,20,-0.3,0,0,1,0,3,0,0,28,3.6,377,9:41
485,Steve Martins\martist02,28,TBL,C,20,1,1,2,-9,13,-0.4,1,0,0,0,1,0,0,18,5.6,192,9:35
486,Marquis Mathieu\mathima01,27,BOS,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,7,7:04
487,Christian Matte\mattech01,26,MIN,RW,3,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,8,0.0,40,13:21
488,Stephane Matteau\mattest01,31,SJS,LW,80,13,19,32,5,32,3.4,12,1,0,3,18,1,0,81,16.0,873,10:55
489,Mike Matteucci\mattemi01,29,MIN,D,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,34,11:29
490,Richard Matvichuk\matviri01,27,DAL,D,78,4,16,20,5,62,5.1,2,2,0,1,12,4,0,85,4.7,1786,22:53
491,Brad May\maybr01,29,PHX,LW,62,11,14,25,10,107,2.9,11,0,0,0,14,0,0,83,13.3,693,11:11
492,Jamal Mayers\mayerja01,26,STL,RW,77,8,13,21,-3,117,1.5,8,0,0,0,13,0,0,132,6.1,852,11:04
493,Chris McAllister\mcallch01,25,PHI,D,60,2,2,4,1,124,1.3,2,0,0,0,2,0,0,33,6.1,696,11:36
494,Chris McAlpine\mcalpch01,29,CHI,D,50,0,6,6,5,32,1.9,0,0,0,0,6,0,0,61,0.0,884,17:41
495,Dean McAmmond\mcammde01,27,TOT,LW,71,11,17,28,3,43,2.5,9,2,0,1,17,0,0,112,9.8,1065,15:00
495,Dean McAmmond\mcammde01,27,CHI,LW,61,10,16,26,4,43,2.4,9,1,0,1,16,0,0,95,10.5,945,15:30
495,Dean McAmmond\mcammde01,27,PHI,LW,10,1,1,2,-1,0,0.1,0,1,0,0,1,0,0,17,5.9,120,12:00
496,Bryan McCabe\mccabbr01,25,TOR,D,82,5,24,29,16,123,6.7,2,3,0,2,10,14,0,159,3.1,1953,23:49
497,Sandy McCarthy\mccarsa01,28,NYR,RW,81,11,10,21,3,171,1.7,11,0,0,2,10,0,0,95,11.6,843,10:25
498,Steve McCarthy\mccarst01,19,CHI,D,44,0,5,5,-7,8,0.7,0,0,0,0,5,0,0,32,0.0,650,14:47
499,Darren McCarty\mccarda02,28,DET,RW,72,12,10,22,-5,123,1.7,10,1,1,3,7,3,0,118,10.2,968,13:26
500,Alyn McCauley\mccaual01,23,TOR,C,14,1,0,1,0,0,-0.1,1,0,0,0,0,0,0,13,7.7,147,10:28
501,Andy McDonald\mcdonan01,23,MDA,C,16,1,0,1,0,6,-0.1,1,0,0,0,0,0,0,21,4.8,179,11:11
502,Shawn McEachern\mceacsh01,31,OTT,LW,82,32,40,72,10,62,8.3,23,9,0,1,30,10,0,231,13.9,1510,18:25
503,Dan McGillis\mcgilda01,28,PHI,D,82,14,35,49,13,86,9.3,10,4,0,4,16,18,1,207,6.8,1918,23:23
504,Marty McInnis\mcinnma01,30,MDA,RW,75,20,22,42,-21,40,3.5,10,10,0,1,11,11,0,136,14.7,1387,18:30
505,Randy McKay\mckayra02,34,NJD,RW,77,23,20,43,3,50,4.7,11,12,0,5,17,3,0,120,19.2,1076,13:58
